table,counter
DC.DC_E_RAN_UCELL_RAW,pmTotNoRrcConnectReqPsSucc
DC.DC_E_RAN_UCELL_RAW,pmTotNoRrcConnectReqPs
DC.DC_E_RAN_UCELL_RAW,pmNoLoadSharingRrcConnPs
DC.DC_E_RAN_UCELL_RAW,pmNoRabEstablishSuccessPacketInteractive
DC.DC_E_RAN_UCELL_RAW,pmNoRabEstablishAttemptPacketInteractive
DC.DC_E_RAN_UCELL_RAW,pmTotNoRrcConnectReqCsSucc
DC.DC_E_RAN_UCELL_RAW,pmTotNoRrcConnectReqCs
DC.DC_E_RAN_UCELL_RAW,pmNoLoadSharingRrcConnCs
DC.DC_E_RAN_UCELL_RAW,pmNoRabEstablishSuccessSpeech
DC.DC_E_RAN_UCELL_RAW,pmNoRabEstablishAttemptSpeech
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi00
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi01
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi02
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi03
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi04
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi05
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi06
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi07
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi08
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi09
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi10
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi11
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi12
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi13
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi14
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumAckedBitsSpi15
DC.DC_E_RBS_HSDSCHRES_RAW,pmSumNonEmptyUserBuffers
